DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0,1,54393,219,200,0,0,967,206,119,UA,19977,United Air Lines Inc.,10877,P,UA,United Air Lines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14771,1477102,32457,SFO,"San Francisco, CA",CA,6,California,91,8,887,1,2017,2,6,2,F
0,2,69200,286,281,2628,0,73,83,41,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,612,1,2017,2,6,1,F
0,2,69200,286,278,1614,0,90,96,45,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,11233,1123302,31233,CYS,"Cheyenne, WY",WY,56,Wyoming,88,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,612,1,2017,2,6,1,F
0,1,43400,175,175,252,0,90,40,23,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,11233,1123302,31233,CYS,"Cheyenne, WY",WY,56,Wyoming,88,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,614,1,2017,2,6,1,F
0,1,34600,143,141,1280,0,602,162,137,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,11259,1125903,30194,DAL,"Dallas, TX",TX,48,Texas,74,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,6,612,1,2017,2,6,2,F
0,1,34600,143,142,151,0,1359,230,213,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,10792,1079204,30792,BUF,"Buffalo, NY",NY,36,New York,22,6,612,1,2017,2,6,3,F
0,1,43400,175,160,167,0,929,167,148,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11140,1114006,31140,CRP,"Corpus Christi, TX",TX,48,Texas,74,6,614,1,2017,2,6,2,F
0,1,43400,175,164,120,0,1250,212,198,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11481,1148102,31481,ECP,"Panama City, FL",FL,12,Florida,33,6,614,1,2017,2,6,3,F
0,1,34600,143,143,0,0,1095,170,156,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11973,1197302,31973,GPT,"Gulfport/Biloxi, MS",MS,28,Mississippi,53,6,612,1,2017,2,6,3,F
0,1,34600,143,132,0,0,1278,225,210,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11996,1199603,31871,GSP,"Greer, SC",SC,45,South Carolina,37,6,612,1,2017,2,6,3,F
0,1,34600,143,143,0,0,456,129,115,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,12896,1289605,32896,LBB,"Lubbock, TX",TX,48,Texas,74,6,612,1,2017,2,6,1,F
0,1,43400,175,165,0,0,771,128,112,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,12992,1299204,32600,LIT,"Little Rock, AR",AR,5,Arkansas,71,6,614,1,2017,2,6,2,F
0,1,34600,143,140,1348,0,943,162,141,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,14831,1483104,32457,SJC,"San Jose, CA",CA,6,California,91,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,6,612,1,2017,2,6,2,F
0,1,43400,175,120,0,0,73,34,19,WN,19393,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,614,1,2017,2,6,1,F
0,1,1600,8,1,0,0,764,144,132,27Q,21652,"Jet Aviation Flight Services, Inc.",1194,D,27Q,"Jet Aviation Flight Services, Inc.",1,1,10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,5,515,1,2017,2,6,2,L
0,1,1600,8,0,0,0,903,150,132,27Q,21652,"Jet Aviation Flight Services, Inc.",1194,D,27Q,"Jet Aviation Flight Services, Inc.",1,1,10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82,13930,1393004,30977,ORD,"Chicago, IL",IL,17,Illinois,41,5,515,1,2017,2,6,2,L
0,1,2400,12,1,0,0,937,144,126,27Q,21652,"Jet Aviation Flight Services, Inc.",1194,D,27Q,"Jet Aviation Flight Services, Inc.",1,1,10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82,14831,1483104,32457,SJC,"San Jose, CA",CA,6,California,91,6,688,1,2017,2,6,2,L
0,1,1600,8,1,0,0,764,120,102,27Q,21652,"Jet Aviation Flight Services, Inc.",1194,D,27Q,"Jet Aviation Flight Services, Inc.",1,1,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82,5,515,1,2017,2,6,2,L
0,1,2400,12,0,0,0,1166,174,162,27Q,21652,"Jet Aviation Flight Services, Inc.",1194,D,27Q,"Jet Aviation Flight Services, Inc.",1,1,11066,1106603,31066,CMH,"Columbus, OH",OH,39,Ohio,44,10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82,6,688,1,2017,2,6,3,L
0,1,1600,8,6,0,0,919,144,132,27Q,21652,"Jet Aviation Flight Services, Inc.",1194,D,27Q,"Jet Aviation Flight Services, Inc.",1,1,14792,1479201,34792,SGR,"Sugar Land, TX",TX,48,Texas,74,10372,1037203,30372,ASE,"Aspen, CO",CO,8,Colorado,82,5,515,1,2017,2,6,2,L
