AIRCRAFT_TYPE,AIRCRAFT_CONFIG,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,RAMP_TO_RAMP,AIR_TIME,DISTANCE_GROUP,CLASS
619,1,64400,286,274,59,0,392,345,3,F
619,1,64400,286,254,1128,0,321,283,3,F
619,1,64400,286,265,431,0,267,237,2,F
619,1,64400,286,253,208,0,305,270,3,F
619,1,64400,286,204,565,0,150,124,1,F
619,1,64400,286,281,0,0,239,207,2,F
619,1,64400,286,274,1579,0,294,245,2,F
619,1,64400,286,275,13,0,278,239,2,F
619,1,64400,286,256,43,0,323,260,3,F
619,1,64400,286,236,210,0,294,252,2,F
673,1,43606,152,104,0,0,382,334,3,F
673,1,43606,152,112,0,0,291,251,3,F
673,1,43606,152,137,0,0,331,270,3,F
677,1,38184,140,132,0,0,247,188,2,F
673,1,43606,152,127,0,0,174,139,2,F
677,1,38184,140,137,0,0,196,149,1,F
698,1,60000,300,274,0,0,254,210,2,F
694,1,72000,360,295,0,0,226,177,2,F
694,1,73200,360,290,0,0,345,311,3,F
694,1,73200,360,299,0,0,238,198,2,F
698,1,60000,300,242,0,0,301,258,2,F
694,1,73200,360,289,0,0,482,416,3,F
694,1,73200,360,299,0,0,257,215,2,F
622,2,126608,0,0,39954,0,159,118,1,G
691,2,213861,0,0,67964,0,248,195,2,G
638,1,43004,152,143,0,0,361,326,3,F
638,1,43004,152,139,0,0,288,248,3,F
622,2,159510,0,0,33216,0,166,114,1,G
614,1,120700,480,396,2100,0,391,307,2,F
631,1,52830,210,177,0,0,268,206,2,F
631,1,52830,210,199,0,0,309,239,2,F
631,1,52830,210,199,0,0,342,277,2,F
631,1,52830,210,191,0,0,456,362,3,F
631,1,52830,210,166,0,0,419,353,2,F
631,1,52830,210,199,0,0,517,449,3,F
631,1,56220,210,166,0,0,218,167,1,F
629,1,40500,150,143,0,0,215,168,1,F
631,1,56220,210,136,0,0,325,211,2,F
629,1,40500,150,119,0,0,219,160,1,F
631,1,56220,210,193,0,0,301,239,2,F
673,1,45600,228,211,0,0,508,424,3,F
673,1,45600,228,192,0,0,444,381,3,F
631,1,54980,210,203,0,0,406,350,3,F
629,1,40500,150,115,0,0,234,188,1,F
629,1,40500,150,135,0,0,168,102,1,F
629,1,40500,150,141,0,0,442,357,2,F
631,1,54980,210,192,0,0,350,265,2,F
629,1,40500,150,131,0,0,406,334,2,F
631,1,56220,210,131,0,0,452,368,2,F
631,1,56220,210,201,0,0,396,312,2,F
631,1,56220,210,206,0,0,294,230,2,F
629,1,40500,150,147,0,0,360,298,2,F
631,1,55220,209,89,0,0,447,388,2,F
629,1,40500,150,90,0,0,263,211,1,F
629,1,40500,150,140,0,0,195,113,1,F
629,1,40500,150,147,0,0,403,335,2,F
631,1,54980,210,204,0,0,329,243,2,F
631,1,56220,210,107,0,0,191,146,1,F
614,1,122849,486,333,0,0,387,329,2,F
698,1,107090,384,368,133,0,680,635,3,F
614,1,116827,486,446,130,0,627,544,3,F
698,1,106955,384,358,472,5334,528,440,3,F
698,1,101729,384,346,568,3821,653,547,4,F
634,1,136854,537,462,0,4386,278,216,2,F
694,1,98048,450,331,0,0,366,305,2,F
614,1,125837,498,471,64,0,276,219,1,F
698,1,107620,384,346,1505,0,454,374,2,F
694,1,104148,450,379,34,0,355,305,2,F
614,1,118898,498,482,20,0,658,575,3,F
619,1,96600,429,336,884,0,236,179,1,F
614,1,130200,525,465,0,0,726,679,4,F
619,1,96600,429,412,119,0,597,502,3,F
612,1,103800,429,394,1352,0,762,716,4,F
614,1,130200,525,513,451,0,576,517,3,F
619,1,96600,429,388,368,0,409,355,2,F
619,1,96600,429,383,0,0,415,364,2,F
619,1,96600,429,400,318,0,275,226,2,F
614,1,86800,350,347,137,0,296,260,3,F
619,1,96600,429,424,107,0,431,388,3,F
619,1,96600,429,391,40,0,258,189,1,F
619,1,96600,429,385,2230,0,407,351,2,F
612,1,103800,429,417,95,0,574,523,4,F
614,1,130200,525,481,0,0,382,323,2,F
619,1,96600,429,417,1828,0,517,461,3,F
619,1,96600,429,330,18,0,432,386,2,F
619,1,96600,429,350,326,0,457,389,2,F
619,1,96600,429,374,559,0,318,274,2,F
619,1,96600,423,395,1105,0,513,463,2,F
619,1,96600,429,380,0,0,389,342,2,F
619,1,96600,429,427,0,0,483,433,3,F
619,1,96600,429,311,397,0,263,212,1,F
619,1,96600,429,400,833,0,375,333,2,F
614,1,130200,525,508,0,0,672,630,4,F
673,1,65409,228,203,0,0,246,169,1,F
673,1,65409,228,144,0,0,524,455,3,F
677,1,57276,210,200,0,0,578,523,3,F
673,1,65409,228,193,0,0,226,152,1,F
673,1,65409,228,190,0,0,467,375,3,F
677,1,57276,210,169,0,0,318,250,2,F
677,1,57276,210,197,0,0,384,318,2,F
673,1,65409,228,213,0,0,285,216,1,F
677,1,57276,210,122,0,0,329,237,2,F
677,1,57276,210,198,0,0,382,291,2,F
673,1,65409,228,196,0,0,400,273,2,F
673,1,65409,228,200,0,0,420,353,2,F
677,1,57276,210,198,0,0,370,277,2,F
677,1,57276,210,197,0,0,482,425,3,F
677,1,57276,210,206,0,0,293,222,1,F
677,1,57276,210,192,0,0,409,330,2,F
677,1,57276,210,130,0,0,335,272,2,F
698,1,90000,450,425,0,0,364,289,2,F
698,1,90000,450,424,0,0,343,271,2,F
699,1,138000,690,445,0,0,403,344,2,F
699,1,138000,690,517,0,0,527,420,2,F
694,1,109200,540,381,0,0,365,281,2,F
675,1,33354,150,126,0,0,256,204,1,F
675,1,33354,150,100,0,0,287,209,1,F
675,1,33354,150,123,0,0,307,244,2,F
675,1,33354,150,132,0,0,366,306,2,F
675,1,33354,150,141,0,0,350,286,2,F
675,1,33354,150,143,0,0,313,258,2,F
675,1,33354,150,92,0,0,396,342,2,F
675,1,33354,150,139,0,0,341,280,2,F
675,1,30000,150,142,0,0,464,392,2,F
622,2,239265,0,0,70464,0,376,311,2,G
673,1,79544,304,126,0,0,512,363,2,F
673,1,79544,304,169,0,0,452,358,2,F
655,1,146200,560,483,0,0,427,337,2,F
655,1,146200,560,541,11,0,494,380,2,F
631,1,70440,280,210,0,0,294,229,1,F
631,1,70440,280,265,0,0,279,210,1,F
631,1,70440,280,255,0,0,489,361,2,F
631,1,70440,280,274,0,0,518,364,2,F
629,1,54000,200,188,0,0,619,516,2,F
673,1,60800,304,260,0,0,530,425,2,F
673,1,60800,304,277,0,0,465,365,2,F
631,1,74960,280,236,0,0,424,332,2,F
631,1,74960,280,164,0,0,427,350,2,F
629,1,54000,200,187,0,0,539,436,2,F
631,1,74960,280,160,0,0,420,344,2,F
629,1,54000,200,191,0,0,458,352,2,F
673,1,60800,304,168,0,0,449,361,2,F
673,1,60800,304,293,0,0,548,414,2,F
629,1,47000,200,144,0,0,409,317,1,F
631,1,74960,280,253,0,0,488,362,2,F
698,1,142952,512,462,153,6943,724,648,3,F
634,1,164811,704,509,0,0,365,291,2,F
694,1,125284,600,395,31,0,508,405,2,F
614,1,155101,664,577,225,1540,720,653,3,F
694,1,136041,600,540,484,366,756,668,3,F
