"code","long","lat"
"02817",-71.66,41.62
"02818",-71.49,41.64
"02822",-71.71,41.56
"02823",-71.54,41.73
"02824",-71.56,41.99
"02825",-71.71,41.77
"02826",-71.63,41.97
"02827",-71.73,41.69
"02828",-71.55,41.87
"02829",-71.60,41.89
"02830",-71.64,41.97
"02831",-71.57,41.74
"02832",-71.73,41.51
"02833",-71.77,41.47
"02835",-71.37,41.51
"02836",-71.62,41.44
"02837",-71.16,41.51
"02838",-71.47,41.96
"02839",-71.63,41.94
"02840",-71.33,41.47
"02841",-71.31,41.52
"02842",-71.27,41.51
"02852",-71.46,41.58
"02857",-71.63,41.83
"02858",-71.64,41.96
"02859",-71.73,41.97
"02860",-71.39,41.87
"02861",-71.35,41.87
"02862",-71.38,41.88
"02863",-71.39,41.89
"02864",-71.41,41.97
"02865",-71.44,41.91
"02871",-71.25,41.58
"02872",-71.32,41.61
"02873",-71.76,41.52
"02874",-71.46,41.51
"02875",-71.64,41.44
"02876",-71.57,42.00
"02877",-71.52,41.53
"02878",-71.17,41.60
"02879",-71.53,41.42
"02880",-71.49,41.43
"02881",-71.52,41.48
"02882",-71.46,41.42
"02883",-71.48,41.43
"02885",-71.26,41.72
"02886",-71.45,41.70
"02887",-71.42,41.71
"02888",-71.41,41.74
"02889",-71.39,41.70
"02891",-71.79,41.36
"02892",-71.59,41.50
"02893",-71.52,41.69
"02894",-71.69,41.46
"02895",-71.49,42.00
"02896",-71.55,41.97
"02898",-71.67,41.52
"02901",-71.41,41.82
"02902",-71.41,41.82
"02903",-71.41,41.82
"02904",-71.43,41.86
"02905",-71.40,41.78
"02906",-71.39,41.83
"02907",-71.42,41.79
"02908",-71.43,41.83
"02909",-71.45,41.81
"02910",-71.43,41.77
"02911",-71.47,41.85
"02912",-71.40,41.82
"02914",-71.36,41.81
"02915",-71.35,41.77
"02916",-71.35,41.84
"02917",-71.52,41.90
"02918",-71.43,41.84
"02919",-71.51,41.82
"02920",-71.46,41.76
"02921",-71.51,41.76
"02940",-71.41,41.83
"03031",-71.60,42.87
"03032",-71.34,42.99
"03033",-71.67,42.74
"03034",-71.31,43.06
"03036",-71.25,42.96
"03037",-71.25,43.14
"03038",-71.28,42.88
"03040",-71.27,43.05
"03041",-71.29,42.89
"03042",-71.07,43.04
"03043",-71.81,42.99
"03044",-71.12,42.98
"03045",-71.56,43.02
"03046",-71.60,43.10
"03047",-71.86,42.94
"03048",-71.76,42.74
"03049",-71.58,42.74
"03051",-71.40,42.76
"03052",-71.45,42.84
"03053",-71.38,42.87
"03054",-71.51,42.85
"03055",-71.67,42.82
"03057",-71.67,42.90
"03060",-71.45,42.74
"03061",-71.46,42.76
"03062",-71.49,42.72
"03063",-71.51,42.77
"03064",-71.47,42.77
"03070",-71.68,42.97
"03071",-71.87,42.75
"03073",-71.22,42.83
"03076",-71.32,42.73
"03077",-71.19,43.03
"03079",-71.22,42.79
"03082",-71.77,42.90
"03084",-71.85,42.83
"03086",-71.77,42.82
"03087",-71.29,42.80
"03101",-71.46,42.98
"03102",-71.49,43.00
"03103",-71.44,42.95
"03104",-71.44,43.00
"03105",-71.46,42.99
"03106",-71.43,43.07
"03108",-71.43,42.94
"03109",-71.40,42.96
"03110",-71.53,42.94
"03215",-71.50,43.95
"03216",-71.79,43.44
"03217",-71.59,43.71
"03218",-71.26,43.31
"03220",-71.47,43.46
"03221",-71.96,43.23
"03222",-71.77,43.62
"03223",-71.57,43.94
"03224",-71.54,43.35
"03225",-71.23,43.36
"03226",-71.50,43.70
"03227",-71.46,43.82
"03229",-71.69,43.19
"03230",-71.86,43.52
"03231",-71.74,43.45
"03233",-71.93,43.42
"03234",-71.33,43.21
"03235",-71.67,43.44
"03237",-71.38,43.42
"03238",-71.89,43.98
"03240",-71.95,43.57
"03241",-71.82,43.71
"03242",-71.82,43.17
"03243",-71.75,43.53
"03244",-71.92,43.11
"03245",-71.58,43.73
"03246",-71.47,43.56
"03247",-71.46,43.52
"03249",-71.38,43.54
"03251",-71.58,44.09
"03252",-71.54,43.47
"03253",-71.51,43.62
"03254",-71.36,43.74
"03255",-72.00,43.32
"03256",-71.62,43.62
"03257",-71.99,43.41
"03258",-71.39,43.25
"03259",-71.39,43.87
"03260",-71.93,43.36
"03261",-71.20,43.21
"03262",-71.74,44.02
"03263",-71.31,43.29
"03264",-71.72,43.74
"03266",-71.88,43.80
"03268",-71.73,43.38
"03269",-71.60,43.53
"03272",-71.99,43.29
"03273",-71.91,43.31
"03274",-71.80,43.86
"03275",-71.41,43.15
"03276",-71.57,43.42
"03278",-71.85,43.31
"03279",-71.88,43.94
"03280",-72.09,43.18
"03281",-71.72,43.08
"03282",-71.93,43.86
"03284",-72.03,43.49
"03287",-71.91,43.44
"03289",-71.50,43.50
"03290",-71.12,43.12
"03291",-71.12,43.13
"03293",-71.68,44.00
"03298",-71.52,43.63
"03299",-71.52,43.63
"03301",-71.54,43.22
"03302",-71.53,43.20
"03303",-71.67,43.29
"03304",-71.53,43.13
"03307",-71.44,43.32
"03431",-72.29,42.97
"03440",-71.98,43.05
"03441",-72.43,42.80
"03442",-71.91,43.01
"03443",-72.44,42.87
"03444",-72.07,42.89
"03445",-72.21,43.01
"03446",-72.29,42.85
"03447",-72.14,42.75
"03448",-72.26,43.03
"03449",-71.99,42.97
"03450",-72.08,42.94
"03451",-72.49,42.80
"03452",-72.05,42.83
"03455",-72.18,42.92
"03456",-72.21,43.13
