UNIQUE_CARRIER,Unique_Carrier_Name,Unique_Carrier_Entity________,Carrier_Name,Carrier_Group,Carrier_Group_New,Airline_ID,Region,Carrier,DEST_AIRPORT_ID,ORIGIN_AIRPORT_ID,LineNUM
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,10849,11292,194
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11193,11292,195
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11433,11292,196
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11697,11292,197
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,12264,11292,198
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,12266,11292,199
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,12889,11292,200
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,13198,11292,201
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,13204,11292,202
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,13930,11292,203
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,14100,11292,204
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,14262,11292,205
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,14524,11292,206
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,14570,11292,207
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,14869,11292,208
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,15016,11292,209
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,15016,11292,210
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,15370,11292,211
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,12264,212
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,12266,213
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,12266,214
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,13198,215
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,13204,216
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,14262,217
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,14262,218
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,14524,219
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,14570,220
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,14683,221
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,14689,222
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,14771,223
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,14771,224
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,14908,225
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,15016,226
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,15016,227
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA,11292,15370,228
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11292,10994,229
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11292,11042,230
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,10140,11292,231
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,10713,11292,232
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11433,11292,233
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11986,11292,234
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,13342,11292,235
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,14057,11292,236
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,14100,11292,237
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,14570,11292,238
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,14635,11292,239
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,15370,11292,240
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11292,11433,241
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11292,11986,242
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11292,13495,243
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11292,14122,244
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11292,14570,245
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11292,14635,246
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11292,14893,247
YX,Republic Airlines,6003,Republic Airlines,2,2,20452,D,YX,11292,10397,248
YX,Republic Airlines,6003,Republic Airlines,2,2,20452,D,YX,11292,11109,249
YX,Republic Airlines,6003,Republic Airlines,2,2,20452,D,YX,11042,11292,250
YX,Republic Airlines,6003,Republic Airlines,2,2,20452,D,YX,11109,11292,251
YX,Republic Airlines,6003,Republic Airlines,2,2,20452,D,YX,11423,11292,252
