ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,Origin,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,Dest,DEST_WAC,LineNUM
11292,1129202,DEN,82,14683,1468303,SAT,74,440
11292,1129202,DEN,82,14747,1474703,SEA,93,441
11292,1129202,DEN,82,14831,1483104,SJC,91,442
11292,1129202,DEN,82,14893,1489302,SMF,91,443
11292,1129202,DEN,82,15376,1537602,TUS,81,444
12339,1233904,IND,42,11292,1129202,DEN,82,445
12954,1295403,LGB,91,11292,1129202,DEN,82,446
13495,1349503,MSY,72,11292,1129202,DEN,82,447
13871,1387102,OMA,65,11292,1129202,DEN,82,448
13891,1389101,ONT,91,11292,1129202,DEN,82,449
13931,1393102,ORF,38,11292,1129202,DEN,82,450
10140,1014003,ABQ,86,11292,1129202,DEN,82,451
10599,1059904,BHM,51,11292,1129202,DEN,82,452
11042,1104203,CLE,44,11292,1129202,DEN,82,453
11292,1129202,DEN,82,10140,1014003,ABQ,86,454
11292,1129202,DEN,82,10693,1069302,BNA,54,455
11292,1129202,DEN,82,11540,1154003,ELP,74,456
11292,1129202,DEN,82,13244,1324402,MEM,54,457
11292,1129202,DEN,82,13851,1385103,OKC,73,458
11292,1129202,DEN,82,15919,1591902,XNA,71,459
11298,1129804,DFW,74,11292,1129202,DEN,82,460
11423,1142304,DSM,61,11292,1129202,DEN,82,461
13244,1324402,MEM,54,11292,1129202,DEN,82,462
13487,1348702,MSP,63,11292,1129202,DEN,82,463
13495,1349503,MSY,72,11292,1129202,DEN,82,464
13871,1387102,OMA,65,11292,1129202,DEN,82,465
14683,1468303,SAT,74,11292,1129202,DEN,82,466
15919,1591902,XNA,71,11292,1129202,DEN,82,467
11003,1100303,CID,61,11292,1129202,DEN,82,468
11292,1129202,DEN,82,11003,1100303,CID,61,469
11292,1129202,DEN,82,12339,1233904,IND,42,470
12339,1233904,IND,42,11292,1129202,DEN,82,471
13487,1348702,MSP,63,11292,1129202,DEN,82,472
10620,1062002,BIL,84,11292,1129202,DEN,82,473
11292,1129202,DEN,82,10620,1062002,BIL,84,474
11292,1129202,DEN,82,14783,1478302,SGF,64,475
11292,1129202,DEN,82,14814,1481402,SHV,72,476
11292,1129202,DEN,82,15376,1537602,TUS,81,477
13198,1319801,MCI,64,11292,1129202,DEN,82,478
14814,1481402,SHV,72,11292,1129202,DEN,82,479
15376,1537602,TUS,81,11292,1129202,DEN,82,480
13930,1393004,ORD,41,11109,1110902,COS,82,481
13891,1389101,ONT,91,11292,1129202,DEN,82,482
