ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,LineNUM
CO,8,Colorado,MT,30,Montana,492
CO,8,Colorado,MN,27,Minnesota,493
CO,8,Colorado,MO,29,Missouri,494
CO,8,Colorado,CA,6,California,495
WA,53,Washington,CO,8,Colorado,496
CA,6,California,CO,8,Colorado,497
MO,29,Missouri,CO,8,Colorado,498
MT,30,Montana,CO,8,Colorado,499
MN,27,Minnesota,CO,8,Colorado,500
NE,31,Nebraska,CO,8,Colorado,501
MO,29,Missouri,CO,8,Colorado,502
GA,13,Georgia,CO,8,Colorado,503
MT,30,Montana,CO,8,Colorado,504
IA,19,Iowa,CO,8,Colorado,505
OH,39,Ohio,CO,8,Colorado,506
OH,39,Ohio,CO,8,Colorado,507
KY,21,Kentucky,CO,8,Colorado,508
CO,8,Colorado,ID,16,Idaho,509
CO,8,Colorado,MT,30,Montana,510
CO,8,Colorado,NC,37,North Carolina,511
CO,8,Colorado,OH,39,Ohio,512
CO,8,Colorado,OH,39,Ohio,513
CO,8,Colorado,OR,41,Oregon,514
CO,8,Colorado,MT,30,Montana,515
CO,8,Colorado,HI,15,Hawaii,516
CO,8,Colorado,WI,55,Wisconsin,517
CO,8,Colorado,LA,22,Louisiana,518
CO,8,Colorado,PA,42,Pennsylvania,519
CO,8,Colorado,PA,42,Pennsylvania,520
CO,8,Colorado,NV,32,Nevada,521
CO,8,Colorado,CA,6,California,522
MI,26,Michigan,CO,8,Colorado,523
MT,30,Montana,CO,8,Colorado,524
HI,15,Hawaii,CO,8,Colorado,525
WI,55,Wisconsin,CO,8,Colorado,526
NV,32,Nevada,CO,8,Colorado,527
NM,35,New Mexico,CO,8,Colorado,528
SC,45,South Carolina,CO,8,Colorado,529
CO,8,Colorado,TX,48,Texas,530
CO,8,Colorado,VA,51,Virginia,531
CO,8,Colorado,CA,6,California,532
CO,8,Colorado,TX,48,Texas,533
CO,8,Colorado,CA,6,California,534
WI,55,Wisconsin,CO,8,Colorado,535
MN,27,Minnesota,CO,8,Colorado,536
VA,51,Virginia,CO,8,Colorado,537
TX,48,Texas,CO,8,Colorado,538
UT,49,Utah,CO,8,Colorado,539
AZ,4,Arizona,CO,8,Colorado,540
CO,8,Colorado,IN,18,Indiana,541
CO,8,Colorado,TX,48,Texas,542
TX,48,Texas,CO,8,Colorado,543
UT,49,Utah,CO,8,Colorado,544
CO,8,Colorado,WI,55,Wisconsin,545
CO,8,Colorado,CA,6,California,546
WI,55,Wisconsin,CO,8,Colorado,547
CA,6,California,CO,8,Colorado,548
CO,8,Colorado,MN,27,Minnesota,549
CO,8,Colorado,KS,20,Kansas,550
KS,20,Kansas,CO,8,Colorado,551
CO,8,Colorado,IL,17,Illinois,552
IL,17,Illinois,CO,8,Colorado,553
CO,8,Colorado,CA,6,California,554
CO,8,Colorado,KY,21,Kentucky,555
CO,8,Colorado,UT,49,Utah,556
UT,49,Utah,CO,8,Colorado,557
CO,8,Colorado,IA,19,Iowa,558
CO,8,Colorado,IN,18,Indiana,559
IN,18,Indiana,CO,8,Colorado,560
MT,30,Montana,CO,8,Colorado,561
CO,8,Colorado,GA,13,Georgia,562
CO,8,Colorado,MT,30,Montana,563
CO,8,Colorado,OH,39,Ohio,564
CO,8,Colorado,CO,8,Colorado,565
CO,8,Colorado,MT,30,Montana,566
CO,8,Colorado,KS,20,Kansas,567
CO,8,Colorado,MO,29,Missouri,568
CO,8,Colorado,TN,47,Tennessee,569
CO,8,Colorado,ND,38,North Dakota,570
CO,8,Colorado,NE,31,Nebraska,571
CO,8,Colorado,CA,6,California,572
CO,8,Colorado,CO,8,Colorado,573
MO,29,Missouri,CO,8,Colorado,574
TN,47,Tennessee,CO,8,Colorado,575
CA,6,California,CO,8,Colorado,576
UT,49,Utah,CO,8,Colorado,577
ID,16,Idaho,CO,8,Colorado,578
NC,37,North Carolina,CO,8,Colorado,579
CO,8,Colorado,MD,24,Maryland,580
CO,8,Colorado,IA,19,Iowa,581
CO,8,Colorado,NC,37,North Carolina,582
CO,8,Colorado,KY,21,Kentucky,583
CO,8,Colorado,NJ,34,New Jersey,584
CO,8,Colorado,WA,53,Washington,585
CO,8,Colorado,OR,41,Oregon,586
CO,8,Colorado,CA,6,California,587
CO,8,Colorado,CA,6,California,588
CO,8,Colorado,CA,6,California,589
CO,8,Colorado,AZ,4,Arizona,590
FL,12,Florida,CO,8,Colorado,591
